transaction_id,date,day_of_week,hour,is_weekend,lane_type,lane_number,cashier_id,payment_method,n_items,basket_value_tnd,has_fresh_products,total_transaction_time_sec,customer_satisfaction,process_step,step_start,step_end,step_duration_sec,step_start_relative_sec,step_end_relative_sec
TXN-CRT-001-000001,2026-07-01,Wednesday,8,False,Traditional,3,CASH-104,Cash,12,47.99,True,161.7,4,Queue Wait,2026-07-01 08:18:07.000000000,2026-07-01 08:18:31.900000000,24.9,0.0,24.9
TXN-CRT-001-000001,2026-07-01,Wednesday,8,False,Traditional,3,CASH-104,Cash,12,47.99,True,161.7,4,Scanning,2026-07-01 08:18:31.900000000,2026-07-01 08:19:28.800000000,56.9,24.9,81.8
TXN-CRT-001-000001,2026-07-01,Wednesday,8,False,Traditional,3,CASH-104,Cash,12,47.99,True,161.7,4,Weighing,2026-07-01 08:19:28.800000000,2026-07-01 08:20:11.700000000,42.9,81.8,124.7
TXN-CRT-001-000001,2026-07-01,Wednesday,8,False,Traditional,3,CASH-104,Cash,12,47.99,True,161.7,4,Payment,2026-07-01 08:20:11.700000000,2026-07-01 08:20:56.800000000,45.1,124.7,169.8
TXN-CRT-001-000001,2026-07-01,Wednesday,8,False,Traditional,3,CASH-104,Cash,12,47.99,True,161.7,4,Bagging,2026-07-01 08:20:56.800000000,2026-07-01 08:21:13.699999999,16.9,169.8,186.699999
TXN-CRT-001-000002,2026-07-01,Wednesday,8,False,Express (<10 items),12,CASH-141,Cash,11,59.83,True,155.6,3,Queue Wait,2026-07-01 08:52:48.000000000,2026-07-01 08:54:04.300000000,76.3,0.0,76.3
TXN-CRT-001-000002,2026-07-01,Wednesday,8,False,Express (<10 items),12,CASH-141,Cash,11,59.83,True,155.6,3,Scanning,2026-07-01 08:54:04.300000000,2026-07-01 08:54:53.800000000,49.5,76.3,125.8
TXN-CRT-001-000002,2026-07-01,Wednesday,8,False,Express (<10 items),12,CASH-141,Cash,11,59.83,True,155.6,3,Weighing,2026-07-01 08:54:53.800000000,2026-07-01 08:55:11.600000000,17.8,125.8,143.6
TXN-CRT-001-000002,2026-07-01,Wednesday,8,False,Express (<10 items),12,CASH-141,Cash,11,59.83,True,155.6,3,Payment,2026-07-01 08:55:11.600000000,2026-07-01 08:56:08.700000000,57.1,143.6,200.7
TXN-CRT-001-000002,2026-07-01,Wednesday,8,False,Express (<10 items),12,CASH-141,Cash,11,59.83,True,155.6,3,Bagging,2026-07-01 08:56:08.700000000,2026-07-01 08:56:39.900000000,31.2,200.7,231.9
TXN-CRT-001-000003,2026-07-01,Wednesday,9,False,Traditional,8,CASH-111,Flous (Mobile),7,50.26,True,123.2,3,Queue Wait,2026-07-01 09:08:22.000000000,2026-07-01 09:10:52.000000000,150.0,0.0,150.0
TXN-CRT-001-000003,2026-07-01,Wednesday,9,False,Traditional,8,CASH-111,Flous (Mobile),7,50.26,True,123.2,3,Scanning,2026-07-01 09:10:52.000000000,2026-07-01 09:11:32.900000000,40.9,150.0,190.9
TXN-CRT-001-000003,2026-07-01,Wednesday,9,False,Traditional,8,CASH-111,Flous (Mobile),7,50.26,True,123.2,3,Weighing,2026-07-01 09:11:32.900000000,2026-07-01 09:11:56.300000000,23.4,190.9,214.3
TXN-CRT-001-000003,2026-07-01,Wednesday,9,False,Traditional,8,CASH-111,Flous (Mobile),7,50.26,True,123.2,3,Payment,2026-07-01 09:11:56.300000000,2026-07-01 09:12:25.500000000,29.2,214.3,243.5
TXN-CRT-001-000003,2026-07-01,Wednesday,9,False,Traditional,8,CASH-111,Flous (Mobile),7,50.26,True,123.2,3,Bagging,2026-07-01 09:12:25.500000000,2026-07-01 09:12:55.100000000,29.6,243.5,273.1
TXN-CRT-001-000004,2026-07-01,Wednesday,9,False,Traditional,6,CASH-131,Cash,19,121.11,True,229.1,4,Queue Wait,2026-07-01 09:12:46.000000000,2026-07-01 09:13:31.200000000,45.2,0.0,45.2
TXN-CRT-001-000004,2026-07-01,Wednesday,9,False,Traditional,6,CASH-131,Cash,19,121.11,True,229.1,4,Scanning,2026-07-01 09:13:31.200000000,2026-07-01 09:15:20.500000000,109.3,45.2,154.5
TXN-CRT-001-000004,2026-07-01,Wednesday,9,False,Traditional,6,CASH-131,Cash,19,121.11,True,229.1,4,Weighing,2026-07-01 09:15:20.500000000,2026-07-01 09:15:59.000000000,38.5,154.5,193.0
TXN-CRT-001-000004,2026-07-01,Wednesday,9,False,Traditional,6,CASH-131,Cash,19,121.11,True,229.1,4,Payment,2026-07-01 09:15:59.000000000,2026-07-01 09:16:43.200000000,44.2,193.0,237.2
TXN-CRT-001-000004,2026-07-01,Wednesday,9,False,Traditional,6,CASH-131,Cash,19,121.11,True,229.1,4,Bagging,2026-07-01 09:16:43.200000000,2026-07-01 09:17:20.300000000,37.1,237.2,274.3
TXN-CRT-001-000005,2026-07-01,Wednesday,9,False,Traditional,5,CASH-115,Flous (Mobile),15,50.46,True,112.6,4,Queue Wait,2026-07-01 09:19:24.000000000,2026-07-01 09:19:44.900000000,20.9,0.0,20.9
TXN-CRT-001-000005,2026-07-01,Wednesday,9,False,Traditional,5,CASH-115,Flous (Mobile),15,50.46,True,112.6,4,Scanning,2026-07-01 09:19:44.900000000,2026-07-01 09:20:23.600000000,38.7,20.9,59.6
TXN-CRT-001-000005,2026-07-01,Wednesday,9,False,Traditional,5,CASH-115,Flous (Mobile),15,50.46,True,112.6,4,Weighing,2026-07-01 09:20:23.600000000,2026-07-01 09:20:49.800000000,26.2,59.6,85.8
TXN-CRT-001-000005,2026-07-01,Wednesday,9,False,Traditional,5,CASH-115,Flous (Mobile),15,50.46,True,112.6,4,Payment,2026-07-01 09:20:49.800000000,2026-07-01 09:21:12.500000000,22.7,85.8,108.5
